"Клиент ИмяФамилия (e-16292784), период 01.03.2023 - 27.06.2023"
"Всего";;"Ср.расход за день (руб.)";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
"с 01.03.2023 по 27.06.2023";;11361,40;917727;12829;1170224,30;1,93;-;78;-;-;381;3

"Дата";"Кампания";"№ Кампании";"Группа";"№ Группы";"Тип устройства";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь для школьников москва";5153889079;"мобильные";1;1;104,80;2,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь зао";5153889080;"мобильные";3;2;94,66;1,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний дневной лагерь в москве 2023";5153889081;"мобильные";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь на выходные";5153889083;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневные лагеря в москве для детей";5153889090;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневные лагеря в москве для детей";5153889090;"мобильные";11;1;89,52;1,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной летний лагерь для детей";5153889091;"десктоп";1;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летние детский лагерь дневного пребывания";5153889100;"десктоп";2;0;0,00;-;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"десктоп";564;2;0,00;8,00;-;-;-;-;-;-
20.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"мобильные";375;6;0,00;1,00;-;-;-;-;-;-
